"variant","driver_id","ride_pre","ride"
"test","e5fa1e28-bb9d-41c1-8f50-17bb2b830855",133,133
"test","f34e4862-7922-46e6-a6a9-97dc0853ea19",97,100
"test","df72d577-30b2-4d76-82c8-5c7a6543dfb3",93,121
"control","df3d4116-3e7f-4620-b40a-fca712d32bd6",144,119
"test","92a80d03-5f41-4bbe-accf-79cc54274ccf",60,77
"control","1113bd6e-39c9-4e0b-ab32-32777861d5ac",88,98
"control","a757f417-5c98-4eb4-8ef2-53a57cf1e974",117,114
"control","06cbc4ec-0668-4d6f-a025-4ab8efcd8955",95,91
"control","af87559c-0f4c-4937-adff-81b0319d411f",134,131
"test","dff4d8a5-72a1-4d3c-a2a7-4b2c374ba545",87,101
"control","31e4ab9d-f60b-4d82-8df2-1a984f38eb8c",142,129
"test","85a72ae5-87d0-417d-902e-f00289048f11",73,84
"test","008dd699-0f56-4bbc-80cf-b028cb388390",134,122
"control","adf7e244-e26e-4e8f-a378-2224acc7e43b",106,91
"control","146a2601-19ca-4919-ab8b-75f980eb3de2",64,74
"control","fb95e1dc-0ce9-4ae0-9a08-032c21f0f927",104,109
"test","59a4ee63-60e6-4080-ae02-180364f31c78",50,98
"control","a2c28aa2-be00-433e-b2ba-c0942569cd61",119,133
"test","c4244e4e-3c15-4df0-abe9-1bf69d8727fa",109,82
"test","4b41f142-af15-4a5c-a899-71486024118c",133,151
"test","f6228256-22c0-481f-a1ff-91c4ed0b5231",141,144
"control","f48fabac-a7c1-41f1-8b5b-5cbfce89273f",70,90
"test","c5525bff-2036-4bbc-9a06-0da963738175",135,119
"test","0086b18d-02af-4f83-af26-f3fef676ad75",136,155
"test","8b14403c-ba2a-4fea-850b-9c65fd7c5b48",124,134
"test","51006c9c-7cdf-452f-97b9-72facbe7ebb4",73,97
"control","adb01836-3986-4f1a-b441-7f699e7f3ded",96,103
"control","4c31eb5b-7a47-4902-b973-d84fdb1091da",104,86
"control","1da1aa91-da2b-4724-8e32-69b65552a379",125,126
"control","0808b8c3-57cf-4c8d-86cf-a02860bc5819",151,156
"test","22505812-2251-4b7a-b9e3-283117cb0b3b",141,141
"control","f0f3cb4b-3ff5-4783-9c33-e883801f5327",117,122
"test","d50278f2-62e7-4628-a07f-7f072e2b04e3",92,91
"test","a713a345-eb5a-466f-b625-c031e1a0e98b",62,74
"control","18c79531-4dd3-491a-9d88-1591293f64e3",120,134
"test","a8e6507e-94d9-42a6-aae7-26dc8a415be6",65,55
"test","32a06cfb-8a31-4f18-8046-e6280099fd69",134,139
"control","74aca44a-b12d-4bd7-af6f-f8ff8aa38f56",106,106
"control","8c879631-29ee-4783-b4b4-5b4f7b8349cd",62,67
"control","8a9ce778-bea5-425b-bba7-41b7a45e9961",142,148
"test","f73a1ff3-15c5-4da8-a56e-343db0056657",108,109
"control","bb2830d2-6608-4173-8a95-59c890467bdb",157,140
"test","170e99d6-1438-47e3-933c-2c6123eb0b0a",61,66
"control","0f294e25-0712-4271-aacd-f1af8cdbfb7d",120,122
"control","16cf2b12-99a7-4400-83de-534f555324ff",56,75
"control","7812d3fc-ba9b-4592-a292-f36ef9ebf984",91,120
"control","b8f40b0f-dc6b-499f-808e-3b7c7e5a935c",106,120
"control","1528e175-33b2-4d64-ba7d-ee68d21daa37",58,96
"control","e754ba3e-6d90-4a26-8f02-99435175a080",79,73
"test","ad741c38-24bd-48c9-8dc6-e809d5f3f42f",53,48
"test","f8524c55-e702-477b-b68f-7fa9954f7403",120,126
"control","38aea63a-d3fd-496f-b9c0-f15f0ea55138",82,80
"test","b7c33be7-451a-4f34-a3c1-4f6e8e07be95",112,115
"control","226ac61c-83fd-4153-aa47-c5fb1d1ae05b",113,114
"control","f588e3bd-762f-4604-a83c-02bf4f0abce5",134,110
"test","cc65b80b-7cd0-457c-9970-09874c649658",77,75
"control","31f88eb0-9bd7-4291-8ece-f1567e3db6c8",111,104
"control","c3c80361-4719-4b48-82df-3a367883eb2b",98,74
"test","fbc64db4-ac3a-45aa-8271-b598bf9e23e2",100,80
"test","547d8b71-0312-4395-8dba-9922fb9e42b0",149,143
"control","f2161772-1f26-43ae-90f3-60f30b793bf2",142,151
"control","50b647ec-664b-406e-b5e0-5fe932931bcb",156,129
"test","827162a4-94ff-4c8a-b3fc-e6cd10133a56",54,66
"test","cb811a63-3edd-4cb9-8880-ac3f1973002c",59,57
"test","bef08eda-cb96-4109-bbe7-166559c403de",73,49
"test","93f108cd-54d6-4d69-802f-dda3b083b395",53,52
"control","782623da-1a17-47a6-bd4e-81dd0c05cc7f",89,99
"control","5769e643-41cf-415c-88e1-2157e1cd954d",44,66
"test","dba30e81-0ce8-42b6-841a-43c346c58b48",85,100
"control","1760390b-3e9a-4b3e-8a18-dc511653a8d4",78,77
"control","063f1d21-c474-4a45-bb2e-6dcd0249a367",100,105
"test","6201c246-1a55-45d1-ab36-6130894c36f0",76,63
"control","93bcb0a1-c029-4fa4-95f5-4ae8ea4222ab",82,85
"control","ee71363b-005f-4ddc-8de0-278e2b592f58",72,56
"test","b9df1ce0-c099-4337-8fe7-1b69374350ae",133,137
"test","291003d0-0e90-45e6-a0fc-c3dc4935c811",79,102
"control","4cea3fe1-7ff2-4c3b-8f5d-643193736f67",85,81
"test","822473a3-a973-4e96-9ab2-eaf186d9c527",145,133
"test","18ac93b7-157e-4242-bd04-d4bad25c978b",64,65
"control","571202a5-6de0-4348-b9c2-0d0f84c2a55a",40,41
"control","b8f48e62-bfda-4e3c-8a35-5f109597d6c4",70,50
"control","51ffcfc2-32d0-447d-be89-cf1721420d11",144,118
"test","f8ec3ed5-a6ec-444e-8a6a-964a0b30fa45",145,150
"test","f792e430-5496-4711-8b87-8b2b6d2b6418",131,144
"control","eff2c876-db66-4f00-8497-1dd22bc4d7a7",140,130
"test","8adb07f8-9a58-4a77-8545-0e0e269cfd4b",53,50
"test","d55155db-67a9-44a7-842d-e0b2bdd4adea",93,92
"test","60679584-7676-458b-9c15-716be2058fe6",99,112
"control","40325640-8f5e-4d33-9b52-8fea7e1cd6fc",145,140
"test","01ad90a4-aead-4d03-a086-42c3276d7afa",61,85
"test","f1e1b968-cebe-4a60-954a-45685a89afbc",91,86
"test","f0d8f2a8-2b45-4675-9be6-631951ab297a",NA,74
"control","64a77c10-1ef4-4128-b751-675a5780b810",99,114
"test","6a4a3f04-57ed-4c69-acd8-f65f6e57a3c3",182,177
"control","0ef2d42f-a878-4c23-8bf2-a3ca66926e84",92,56
"test","519d1201-2248-47b4-9e56-6ac3feda3be8",50,85
"test","03eba369-0551-42df-97e9-97c9fbc7cda7",60,60
"control","b78f898c-62f3-4292-9bac-dd53640a42c4",69,59
"test","5739bb5e-915a-4b0e-9ca8-76d5f981e2db",121,125
"test","cd28b0c6-42e3-4c57-ba0b-e95317e4a369",51,43
"control","813edfe4-7b47-4a53-abfd-6b88ff3e9503",107,125
"test","3d6dfd60-37d1-44e0-9fac-8c1f3da8efea",82,64
"test","e5700c7e-7286-4754-ab45-cc03df3743bf",115,110
"control","6d91a344-1169-44e7-a658-e72f3386efe9",58,54
"test","fe93da0e-7813-488a-b51d-2e7175b426e4",95,68
"test","357d4338-714c-4e8a-86ad-9a07f45bd7bb",98,61
"control","d93a0373-e192-423c-b411-ac1e82ff3395",97,102
"control","7fc2e479-b1e8-427e-95d5-6367a09eb87c",132,140
"control","edcd5590-b0e7-43a0-aff6-f3cef75d316e",99,97
"control","f783aec7-da9c-4d49-8d8e-afe7b54d41b4",57,68
"test","49580464-903c-4abb-9fdd-97948b4bc853",34,65
"control","d927d5a1-2c4e-43c9-99f8-b43dcc4f6464",140,114
"test","252ebb56-536a-4c8e-9334-6b44f88c673d",49,62
"control","bb9e349f-9e61-405e-8f2a-a74c01fbf3fb",83,61
"test","77d08100-61dd-42fb-80c5-b8a1f093b673",87,66
"control","69637565-adc4-45a1-8374-91295845e438",121,144
"control","4c1f91c6-55e5-47a5-805a-498bd6ff4b2b",56,67
"control","c951ff8c-ec29-4a6a-ae56-bced5f74dcfb",121,118
"control","3dd1eb01-8c8f-43e2-898b-fec3e013fbee",NA,67
"test","e3f0fb6b-0e7b-4092-bc37-94ac63ad7821",99,83
"control","bccb0d0c-71c2-4bd7-ac11-0770e66a3e8d",128,116
"control","0fb46b35-3898-4a69-ba09-f5b2dfcd27f2",87,92
"control","b2542faa-76e9-4456-b86c-fffa01443c61",62,56
"test","bb8a6246-46bc-445c-a806-da137e9df6b1",64,86
"test","d2903f98-a552-4fb5-9294-08416481f3f9",69,75
"test","b01f9c2f-cfe2-4197-a712-2e9b0d2f771c",79,89
"test","e6103408-69d6-4210-b25f-2f1f85e70c43",135,123
"control","33c7efae-329b-4800-84f4-7690aa5059ee",78,86
"control","e5084c10-9efd-4a68-a77b-1d96304dc58c",84,69
"test","8ca1af6b-3c23-40d8-a348-3b8cb6f9c2b0",131,119
"control","c220394d-889e-4f00-9950-e1e917d7f573",124,111
"control","1ac074fb-b486-454d-a429-7db49f5ee460",67,54
"test","af0dbb6b-1d97-4e75-863b-38cd8daed8de",83,96
"test","3baa2539-57c3-46f7-840f-90728f3729ad",94,91
"control","af0580e5-b094-4075-9e67-ea2cbc649d71",147,142
"test","cb4d0d2f-d10c-438f-9a5b-f0eb728ff08d",110,115
"test","b3e4a191-dc61-4b9c-be26-c47fcde45274",85,85
"test","611b4056-0ee4-43d7-b02b-10cf4dee765c",86,85
"control","a1c9fea7-9ef7-43b7-b608-2acc1f8cced1",95,106
"control","c6d2943f-06cb-4442-ac34-1b0b9ed82cec",64,67
"test","4b7ae1cb-0b60-4ff5-bae5-8a96ff1b1c31",111,99
"control","5ff7c4b0-979e-45f5-bbe3-88742d4a3ec2",41,92
"test","6b4c008b-43f2-43ee-aa63-245c8d467638",110,118
"test","241e2929-d81d-4eb3-8142-2c41668460bb",41,38
"test","78168e1d-c3b0-4527-9626-dd988c125868",90,62
"test","76bef5d7-2497-4cda-a76c-a78dd60156bf",81,87
"control","89481571-5750-425f-b3ea-effb0fc58763",78,98
"test","0997fafa-b28e-4c8a-95c7-5136ebb6bb5e",81,66
"test","66258549-0b87-48bf-a8b6-d9f565b6ae4b",122,126
"test","d0f7fce6-d0f1-475b-9cb5-cdcfccb0483f",128,126
"control","54ffff61-6373-4f68-be42-4ca86ae0a0e9",109,112
"control","5f56a88c-82e6-4bc5-a468-8988b46a6808",119,114
"test","28486176-7cad-4948-bc36-a45eaa99991f",100,115
"control","829cd548-edbb-4686-8bdf-3fdf274671cf",114,102
"test","3175ee73-2974-4ec8-b52c-4bc1eb07171c",63,60
"control","58b3a64b-0baa-4dcb-98e8-411bcb154d8d",117,114
"test","89977eb1-a7e7-4295-9431-c276347ba73b",57,65
"control","00732abb-e5b8-4ce8-b5ce-819b65816341",55,71
"test","fc0e3ece-2b2c-4c9a-afd4-10d57d756003",106,103
"test","e65a1b06-a1fc-409f-b127-2501b7331469",119,109
"test","0c63b095-c93b-4ad6-882a-14a6fd2cff1d",124,134
"control","12b3cae3-60aa-4b15-92ab-43469dfca7c7",60,92
"control","1887ecd5-51d3-47df-b004-3c75bc6563ed",61,77
"control","552c5f03-31c4-43de-b6d8-3acc4599c7cc",100,91
"control","5a9f14bb-2fe7-476b-842c-6355855b06b1",116,116
"control","548b97ea-17c6-48a3-b3ef-79f07755c79b",96,87
"control","b87edcfd-40dd-4efe-91d1-85899f7cc392",75,52
"control","7124246c-adc8-4cc2-9087-dc691b13f1b2",119,114
"test","258556c0-500e-4dcd-8013-3e2e3ff87b3a",63,64
"control","56581797-793f-4c94-b326-8079a84e0abd",126,111
"test","1d6ca7f2-cb16-4deb-8b86-b907e544a035",136,123
"control","898aa91d-45ce-40db-938b-19c984b3a836",118,107
"test","2d4d7637-95e6-4205-9695-3c3f60123944",130,149
"control","362bfdfd-1375-4b3c-8e2f-dd4278e3eb93",78,87
"test","1f51e68f-39d0-4f66-889c-6c68b5d65a6c",98,106
"control","c89cc5d6-bb40-44e2-b502-696bdc6a8a6c",53,110
"test","231e2806-d858-47b0-ae85-8343b15a9c5f",107,104
"control","6c0f6850-f4ec-4b50-ad73-85ed9334b1f3",74,52
"test","b7e10bb0-b118-43b1-a054-669e0f4f7c63",126,124
"test","1b9c6f0f-0b15-4396-b1d7-b95984c51f5a",69,76
"test","b4df00e0-fe36-45a2-84eb-bd16c89720f4",120,125
"test","6315874b-7369-4c5a-aa3e-074d84174f4e",62,75
"test","412d1f55-ce0b-4463-836b-2e9cba01d49c",110,80
"control","b13a6094-bcae-4f13-a4e1-de12b6bae7a0",147,131
"test","4223fd0a-b743-4d18-8499-38bdba8d66f7",136,114
"test","562c89ca-ec49-48d9-a631-f4c3e31c9201",84,72
"test","010bb90c-76d4-4ce6-bf26-6c4e9871d3aa",117,113
"test","e4934c53-fcad-46f9-9ba3-57af37bd8c1d",116,138
"test","693e76a4-988b-4908-9a39-92d6fe535e7c",54,65
"control","6ef3ca54-75f7-47aa-946a-b7eb18e73940",88,87
"control","497be5a7-f5e9-43ba-8ba3-f85c67ece10d",50,70
"test","dcb445b7-fce3-4b25-9b87-cacf29b91b58",114,116
"control","3f612ac3-cd03-41e1-9bf4-b08feb2722cf",74,63
"test","b90cea84-a014-4a93-9d2a-d6cafd85f197",131,117
"control","d51f680f-6cf2-411a-be61-7f3b376e9830",73,78
"test","f026aade-7054-40f7-b954-dd57e66a7917",58,75
"control","7453e3d5-f9d0-48b0-ae37-fbf71456a7b6",60,40
"test","f74db055-1602-480a-9aa3-647185e89702",50,25
"test","f166b70d-2f21-4677-a281-8e6beb4294ff",141,147
"test","de2f15f9-baab-49b2-85b8-9915f012290c",60,43
"control","c37ce1b1-ef4a-48fa-be9c-b7d83905abfc",66,49
"test","b7c82ce1-46f9-43bc-92c0-5041e4fe51df",99,122
"control","7271770b-1b18-46e3-92f2-5ea90ab193f1",144,123
"control","32c1f07a-8d4d-4319-be49-26ef37fddf38",NA,98
"control","293c318d-441c-4bb9-8590-8faad25e9ac9",103,114
"test","866c25c6-7a9b-4bf3-b6ad-1f0df4cd71eb",120,125
"test","e7f7b3b0-00bc-475a-9d97-9cf39b2bb7a4",115,114
"control","85dc1520-f843-4427-9dcb-6e1b349b70f1",144,144
"control","310adee7-5f05-4a3f-adc8-ec38401f7d98",57,61
"test","0107c2ab-fe9d-4574-be16-9974cc3c7338",97,83
"test","0b0bc47a-d3b2-41fd-82eb-cb5cdec5729a",70,78
"control","cdef220d-11ac-49bd-8f83-27d122815ca2",105,83
"test","d8c384e2-e7dc-4c6a-94df-c5790c11a00d",49,54
"test","17773029-74f3-43a4-a774-e2c2fb35431f",105,98
"test","08fa4813-34f3-41c5-9590-733723b24119",58,69
"control","94553d53-f56a-4e1b-8e84-5d56222b1cc4",62,67
"test","f0448cbb-5cf2-469d-8056-c4ca2ca32017",69,98
"test","4bd928a2-be3e-46e0-acd9-f3069c591319",46,76
"test","2cec89e5-699f-4294-8b49-8ae4dad082d2",135,149
"control","b9295438-3a87-4f03-b597-6c9482647601",70,59
"control","2ba6b0e3-12eb-4955-b631-389c4105d39e",87,102
"test","9af4e248-82fa-4de0-81f6-57f2623ba647",95,97
"control","07936f9a-69f3-417c-abb1-d25edc44174a",140,131
"control","02349827-d6f7-4f90-a92a-63d5921c8c89",124,114
"test","538ac6c1-9025-4000-bfa8-10c56e410ba4",103,100
"test","b9050c30-0fd1-4389-bf5b-8e3b624dd224",83,96
"test","a6076f0c-1c0e-419d-ab92-1d837fe5bab6",106,85
"control","4a9bc6cd-d72d-4202-9d4b-44aa58cf032f",55,68
"control","61c245ac-49f7-446a-bfbc-206ba6cb94c3",52,80
"control","b85691ae-338f-49e0-8f9d-b4fa2935a67b",72,65
"control","37bcb749-0c79-4c31-8e6a-ed019032e5e5",126,130
"control","f7382571-a4db-422a-a54c-5b0cfd124328",61,63
"control","d5df8a88-4cba-4677-a9e3-bdd42dd9e290",114,116
"test","8a7b63af-c1f7-44c2-aaf1-ebf1fc30014a",125,143
"test","566b7bd2-60aa-419d-92ad-53030e54656e",130,141
"test","897c650c-fb7b-4f1f-aa1d-d4dc3238c111",160,127
"test","51af2d7f-94bb-4a8e-b738-4d37ec2c39bb",108,110
"control","f19a397d-9eb1-451c-b42c-580fa37b7251",84,89
"control","1d5bcf2d-f9c2-45ec-a807-86553b20720a",73,58
"test","3b93b4fe-34b5-4557-b43b-fea9a0c87fed",108,114
"control","56b49fa9-b086-4ffb-b227-159e4f10c3ba",128,126
"test","e0a948be-60e0-43bb-9306-5b6be5dc22f9",92,99
"control","bc3fd5a1-1573-4e5c-987e-eb43c551d3c9",114,110
"control","e8f8106b-592f-4610-b2cb-fae32e227d06",85,79
"control","b245f14e-fb2c-491a-9ce2-7a6fa17b1a96",129,140
"test","8cfc451c-c31b-4159-9238-79f5eda77695",100,86
"control","84675ce9-cb87-4dd7-8988-b2bf59bb5a58",66,75
"test","54874c33-0f73-481b-b3c2-5da390106f67",60,65
"control","87985219-9b46-4f46-aa2a-c7084b898c50",115,111
"control","fbe9ad78-1151-4a1a-a24d-4a50e99472f2",139,130
"test","708c097a-39c4-42cb-a97b-075f0405ef5d",141,134
"control","13f3b029-3f16-4750-9444-3d8677e526f6",112,126
"control","d9492b6f-f975-43a8-97b2-1df6b9713c62",64,62
"test","fd51221e-ac4d-4300-bf21-7dc527232e44",119,159
"test","21562535-e72a-4909-b363-38e24ab199f2",138,130
"control","680f1049-2029-45ef-9c54-f936fecf25da",70,76
"test","5e5c842b-af47-4033-9a28-334deeef88eb",96,107
"test","6ded96e4-0d4e-4d26-a324-fadaf572cdc7",98,103
"test","d5d25ec5-0f32-4c74-87ec-95aa7de36546",102,111
"control","0ce783b0-4d8e-46db-bce6-6f697cfecb87",121,120
"test","eba8dff7-f1b2-4d92-8841-04b9a0940856",68,76
"control","b71c77a4-5614-4ae5-916d-776cd0f092b8",81,85
"test","b8176bf2-afdb-4cb2-a916-844a9557f1d1",88,94
"test","c95ec3b4-ce74-43d9-b82a-c8106914d8eb",72,54
"test","f4c7f29b-c1b7-4750-9ce9-96874a8a43f3",39,45
"test","6454efcb-7209-4988-8d1f-e1f505dcbde5",152,131
"control","83a4d87f-5d8d-4bbb-8a1a-122f31026583",98,86
"control","624bf348-2b61-49ab-b8cb-6a5e5d8a9b36",100,83
"test","141dcf7a-1bb0-4133-bcc8-de7b8f9c2d35",110,96
"test","55b27148-7afa-4791-a175-b778a89e6b98",107,114
"test","99c8298e-0976-4d7e-9361-e522d93cfaa4",130,132
"control","c84bd720-e746-45fb-bd0c-34f3b7fe6abf",118,98
"test","3fb8b225-ef9e-4764-8084-eb59e70a5d4b",132,127
"control","fa199b8c-0d9c-41a9-98de-ac7c9da29894",69,53
"control","3410a78c-0269-4cd5-8a9d-00d32fb7b6c6",129,116
"control","64f86d1e-4f1d-40bf-afbe-47f15cc6bc18",149,140
"control","1789cc0d-74ae-48c0-891f-51552fe880e4",139,145
"test","7709e5ea-4dc4-48fa-a8b4-1bf9b77e9892",166,143
"test","89c5554d-dabd-41ad-8732-33a3b35a3a55",125,136
"test","0369e92e-4bee-45e9-8e41-66c89f20e133",138,166
"test","b8938097-6229-4a53-a11d-b049998a5639",138,140
"control","c8df6b19-f349-4455-8d11-28ad1a9cd86d",113,100
"test","96fd3d9c-e8d5-4516-b2e3-664af33d6462",110,113
"test","da32780b-1d3e-436f-823b-dc926e0b0c81",51,60
"test","118435cf-d6c2-4d5c-9c17-20fd733f2625",145,153
"test","b6814dea-711e-4f35-aac2-7a02f292a82e",77,68
"test","b60b3a74-9a77-4b7a-b6b9-21a93afe5e74",133,142
"control","527080d0-a2ed-4eca-9ce9-7df09e02c611",78,84
"control","a49dd44d-3102-46aa-9379-de3474f3c017",165,169
"control","f4935cbb-c137-47c5-87e6-6ba4450cb56c",129,147
"test","76e08a60-123b-4e1f-a8c5-42857052f5d5",56,58
"test","0fbd5d84-ff21-4021-b9ca-650153ef0bd9",87,82
"control","a29108e6-c0e7-46d0-bb93-0f9caa4af94d",54,54
"test","2728af85-a127-4b6d-bcce-cf0e3ce3c9c6",132,148
"control","2dbdf547-2071-433e-9c9e-baa2cad60928",115,97
"test","8f415451-a8f9-4eb6-9abf-6045dfb822b0",122,121
"test","e950afcf-00d7-468e-a029-1273e3e60c66",43,42
"test","5836b10e-c26f-4e38-ae82-33020aac1a28",48,71
"control","96f4328e-106d-4260-9e1d-6ab458a47d77",113,109
"test","91f132ff-d252-47f3-9f26-eee7eeac6f55",118,88
"control","28277ffd-be58-45f4-9c36-96b74e45d6c3",150,132
"test","90bf881d-85eb-49e6-9e12-e36677a620b6",89,75
"test","a1cfd4fa-5b45-4775-a3fd-a35cb3444af9",106,114
"control","ad766091-c0bc-4465-bfd2-cd6dae0813c2",59,53
"control","66128537-8ed5-47d1-8974-5d302860e756",140,137
"control","f69b4cf4-b39a-42ea-ab09-5d904d29ca13",111,112
"test","0c2ac761-c0dc-4b78-a7bc-72888e075232",113,100
"test","d9600def-144a-4e95-a066-1c7af2f9efbb",147,144
"control","cb669fe3-5d6e-4c60-a24e-5761677905fa",98,101
"control","411d21d6-7d8f-4bdf-99dd-86d4e9ee3e86",132,125
"control","fc49e9c1-cee5-41fa-b593-d138a13b7d70",83,92
"test","ec783e48-ad79-4c81-b7ee-7b52ff0e0a43",118,134
"control","e10785e8-adfe-46d4-99de-f839f5b2f504",118,118
"control","a0f69a02-b759-4edb-8f16-ab8f387cf79b",147,120
"control","f9e399fe-8c8a-49cd-baeb-181eb33b2f4c",95,63
"test","d9f9d919-b6f1-4ad8-a178-5bafca7cc374",84,99
"control","9a17bd7d-c7fb-4b45-97bc-631b27941b09",141,148
"test","cba01dbe-cd63-46bd-b2c9-84c18cbda11c",60,73
"control","6a30646f-c107-446b-8ea9-c92c6a3f2870",130,129
"control","57b42be2-1132-4b22-ba85-0e9023410b95",105,126
"test","c37f7cbc-6778-4340-8706-e97579848ac9",112,90
"control","f4556112-8a21-4c44-adab-5264f7f39be8",112,137
"control","0c7e0c76-3847-4504-80be-c0f30639ab19",135,134
"control","a3d44e61-b631-4a08-9fe2-22ed99a2ccb3",149,143
"test","8191e8ca-a080-408e-ba51-2805bad05cec",89,88
"control","098aeb1b-3b69-4e53-b66e-932428fe707a",125,104
"control","a014fcf7-d011-423b-a7a2-afa385b29fc2",127,126
"test","f884a7ea-d673-4628-805a-24319ab0d730",94,62
"test","c9416a37-fd65-4504-8f5d-45f4c3f07857",53,70
"test","dbdf0818-dd9a-4021-be5e-07f6d76a5696",66,54
"control","4d11cfba-5a80-466b-b283-02dfe0562d0f",136,134
"test","850ca375-2e9b-4512-ab0d-53c6beeba597",79,51
"control","f1a0a954-2b92-4e3b-ada6-cf0c307c4849",102,105
"test","be1bab7e-460a-4c3d-94ab-f173202823fd",102,101
"control","2ae18d03-6feb-4ea5-b705-dc339185009c",NA,63
"test","950fd61b-75aa-44ce-a004-ed01070604aa",77,119
"test","e80b1e04-7e3d-40b4-b32f-31818ec61065",95,93
"test","0d10cf87-7291-434b-b7f4-0b5329c17961",138,138
"control","e6edae6e-0be8-45ab-8008-4b9cdc577e4a",55,56
"control","b2b83d62-05f1-43aa-bae3-2ab338b54a05",97,98
"control","1e6f68f1-85b7-4fa1-8f52-491afb6cc99e",111,94
"test","b4a5f11c-32d3-41ac-866d-99fa277c4138",47,52
"test","56139c97-a27a-43ea-98a6-ca4c2ca9ca7b",125,138
"control","b64f1cbb-86ca-4d27-b28c-a365c0d8e84e",86,67
"control","8f5f99bb-d60f-42a7-80bc-67930783e391",54,75
"test","fc81f8ca-63ee-443c-bad8-cbfc9fb5e688",129,150
"test","668ef384-e006-4c4d-9d44-126bdeeec5ca",70,62
"control","1bdf503b-db52-4b6f-b95f-7d6ff217e1fe",73,65
"control","051a3d04-bafd-4b87-85a3-f157e1a96e9e",70,59
"control","684c180d-8217-438d-8987-9270f408163e",82,92
"test","89320cde-76b9-486d-8545-f3a69bfc884a",92,113
"test","62a4e564-3e43-40f0-87e1-b8ad72d96154",155,141
"control","42e179ad-961a-4cea-8118-2549a6e069a5",118,114
"control","1882f7d7-9888-4ea2-8c9c-3ce4ff14593d",68,81
"control","96fa3a11-7461-4b8f-96fd-cd549075d6db",127,128
"control","68bdcc20-83aa-4c51-920d-3a150d20741c",83,83
"test","33ca0170-86cb-4118-8818-ec84d05882f8",138,125
"test","3157c2d5-1ec5-490c-ad74-13733c296452",139,141
"control","04d2bef5-9d10-4b5e-b5cf-235f1aa52b25",106,104
"control","89e3a6c5-5b4c-437f-b84c-87cfc15f7e6c",134,132
"test","37ebd5c9-5a8b-4a28-a23e-80928a8a75c3",109,117
"control","e54f1d87-2d5b-4f89-ad56-d84ea138e12a",141,152
"control","a6023a83-e6d1-47c5-8890-ad79a85cc0fe",52,65
"test","fcfafef4-ce12-4fb9-97f5-497867b57645",141,142
"control","daea9fc5-99b8-46ba-b29a-e320e7236f17",109,127
"test","83d1abc7-caef-4805-aed5-6b231f9db31c",86,91
"control","5412d8ac-9fa2-409a-8c04-ec0da24151e0",143,140
"control","945978db-8ce2-4ac4-b6ee-f5e716313d39",51,60
"test","181b949e-b2ed-4a29-8591-dabf72a19324",94,103
"control","c0d3c0d8-b0ba-44fa-b49a-66a4b628b68d",53,50
"test","5f921c52-ffcd-43c3-a56c-d199d758d1ce",66,67
"test","2cf5d578-8de2-4f49-bac5-e6dc425aac00",108,124
"test","e65e11a4-ae44-43e4-8744-1544365df328",152,154
"control","d18871f5-ae27-42e7-b29f-2a2136991508",131,130
"control","9ec5ef75-a04f-4407-92f1-abe1636191b2",125,82
"test","1adbdd1b-cf23-4c3d-870f-268fcdd1d285",105,113
"control","58f3ccb7-0ce9-498b-8eb0-65654b24e72e",102,122
"control","08d3aa09-82ae-47f6-a5b5-0cb4f1bdc173",122,140
"test","38a1cee4-a5d1-465a-9f82-6b2d90b26cad",117,75
"test","bf230ae3-76d6-433a-ad5c-d43ae839c038",88,97
"control","485cd8be-ff22-41ee-8528-2b6c246531c1",97,126
"test","0b961455-f605-4db2-898d-cb27606e3ad1",135,136
"test","90ab2c58-4d90-4964-9328-55407b64106b",138,158
"control","c45f971a-dce6-43a8-88d0-af99dc66ce85",134,121
"test","b22b22ba-83fb-4d38-a581-eba020bdb273",90,91
"control","5f92f57e-a004-4df2-b88b-b0c25bdbf2c2",NA,70
"control","c99fb7ae-769b-4999-ab8a-fe6e07ef753e",115,105
"control","a8c2b997-e191-4bbd-95dd-f4817fe6c367",109,90
"control","af3d80aa-63fd-4f74-958b-d8b91a8eed2d",110,119
"control","770a3a51-e757-471b-be77-bb386bcbad4e",109,119
"control","d3e4b064-bbe7-4ee6-a80b-45acb6fbaeda",71,65
"control","3135513e-c46b-4783-95aa-4effae2cbdb2",75,89
"control","ef0aa276-b54d-46d3-9a10-17ad3c595bda",61,54
"test","725d5031-d491-4d5a-9b3b-64b6983781c5",132,148
"test","5b8077a6-f5d2-47e5-a6db-70c0f2cdf4da",139,153
"control","37e12f5b-d275-4e56-83ec-d2c352e22c43",108,109
"control","e913d994-a812-4c43-895b-99cf5ccbfae4",52,57
"test","8003b22b-f5f1-48f0-8fd9-9bdf26ed4cf3",125,115
"control","d3e969f7-4eda-487a-ad15-6d28898c59c7",70,55
"control","d9e74db8-70f5-4533-abf3-a0f47e6290c8",124,127
"test","211f0d13-8cc3-45a8-b7fe-348c721d0c2b",130,139
"control","99be675a-ac24-483d-8198-8e716dc340c6",67,82
"test","5716e01a-0016-43a1-976e-a0e3eef5cd3e",99,104
"control","a64b4180-4407-4408-b94f-3eae9e1c5b02",110,114
"test","e79ef0c8-c493-48fe-b21e-6aa8f4cf154d",99,102
"test","5265791a-d179-4791-9cf9-96a8878c12ed",70,52
"control","ce97efe8-0bce-4dcf-bb50-c5aca15c1d61",91,87
